path,emotion,source,intensity,augment_flag
/kaggle/input/ravdess-emotional-speech-audio/Actor_15/03-01-06-01-01-01-15.wav,fear,RAVDESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0018/Sad/0018_001387.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0014/Sad/0014_001235.wav,sad,ESD,normal,False
/kaggle/input/ravdess-emotional-speech-audio/Actor_13/03-01-05-01-01-02-13.wav,angry,RAVDESS,normal,False
/kaggle/input/cremad/AudioWAV/1057_DFA_FEA_XX.wav,fear,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Neutral/0009_000251.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0001/Happy/0001_000912.wav,happy,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0002/Neutral/0002_000208.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0018/Sad/0018_001357.wav,sad,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1008_TIE_FEA_XX.wav,fear,CREMA-D,unspecified,False
/kaggle/input/cremad/AudioWAV/1064_IEO_HAP_LO.wav,happy,CREMA-D,low,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Sad/0009_001167.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0002/Surprise/0002_001541.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0012/Surprise/0012_001709.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0007/Neutral/0007_000124.wav,neutral,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/YAF_disgust/YAF_gaze_disgust.wav,disgust,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0019/Happy/0019_000832.wav,happy,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0003/Neutral/0003_000158.wav,neutral,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/OAF_Fear/OAF_youth_fear.wav,fear,TESS,normal,False
/kaggle/input/cremad/AudioWAV/1082_DFA_DIS_XX.wav,disgust,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0011/Sad/0011_001221.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0005/Happy/0005_001034.wav,happy,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0010/Surprise/0010_001443.wav,surprise,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1036_IEO_HAP_MD.wav,happy,CREMA-D,medium,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/YAF_fear/YAF_wife_fear.wav,fear,TESS,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_angry/YAF_search_angry.wav,angry,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Neutral/0009_000087.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0016/Neutral/0016_000306.wav,neutral,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/OAF_angry/OAF_numb_angry.wav,angry,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Neutral/0009_000332.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0011/Surprise/0011_001659.wav,surprise,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1019_IEO_DIS_MD.wav,disgust,CREMA-D,medium,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0013/Happy/0013_001031.wav,happy,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/OAF_disgust/OAF_neat_disgust.wav,disgust,TESS,normal,False
/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_12/03-01-06-02-01-02-12.wav,fear,RAVDESS,strong,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0015/Surprise/0015_001620.wav,surprise,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/OAF_Fear/OAF_book_fear.wav,fear,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0007/Surprise/0007_001694.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0008/Angry/0008_000440.wav,angry,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0008/Sad/0008_001398.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0002/Surprise/0002_001514.wav,surprise,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_neutral/YAF_get_neutral.wav,neutral,TESS,normal,False
/kaggle/input/cremad/AudioWAV/1048_IEO_FEA_LO.wav,fear,CREMA-D,low,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0005/Neutral/0005_000229.wav,neutral,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_fear/YAF_young_fear.wav,fear,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0017/Happy/0017_000887.wav,happy,ESD,normal,False
/kaggle/input/ravdess-emotional-speech-audio/Actor_12/03-01-06-02-02-01-12.wav,fear,RAVDESS,strong,False
/kaggle/input/cremad/AudioWAV/1043_MTI_SAD_XX.wav,sad,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Neutral/0009_000118.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0019/Neutral/0019_000271.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0003/Happy/0003_001014.wav,happy,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/OAF_disgust/OAF_fat_disgust.wav,disgust,TESS,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_Fear/OAF_pad_fear.wav,fear,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0001/Happy/0001_000833.wav,happy,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/YAF_disgust/YAF_shirt_disgust.wav,disgust,TESS,normal,False
/kaggle/input/cremad/AudioWAV/1030_IEO_FEA_LO.wav,fear,CREMA-D,low,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0010/Neutral/0010_000255.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0012/Sad/0012_001211.wav,sad,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1042_IWL_SAD_XX.wav,sad,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0008/Sad/0008_001197.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0019/Surprise/0019_001521.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0015/Surprise/0015_001531.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0007/Sad/0007_001112.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0008/Surprise/0008_001519.wav,surprise,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/YAF_fear/YAF_lean_fear.wav,fear,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0008/Neutral/0008_000055.wav,neutral,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1063_IEO_HAP_LO.wav,happy,CREMA-D,low,False
/kaggle/input/cremad/AudioWAV/1087_WSI_DIS_XX.wav,disgust,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0003/Surprise/0003_001733.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0001/Sad/0001_001256.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0002/Angry/0002_000506.wav,angry,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0003/Angry/0003_000644.wav,angry,ESD,normal,False
/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-02-02.wav,disgust,RAVDESS,strong,False
/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_13/03-01-06-01-02-02-13.wav,fear,RAVDESS,normal,False
/kaggle/input/cremad/AudioWAV/1033_IWL_DIS_XX.wav,disgust,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0018/Angry/0018_000472.wav,angry,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1024_IWW_NEU_XX.wav,neutral,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0020/Neutral/0020_000309.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0020/Happy/0020_000997.wav,happy,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1003_IEO_FEA_MD.wav,fear,CREMA-D,medium,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/OAF_Sad/OAF_tire_sad.wav,sad,TESS,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_neutral/OAF_tool_neutral.wav,neutral,TESS,normal,False
/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_16/03-01-06-01-01-02-16.wav,fear,RAVDESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0013/Surprise/0013_001621.wav,surprise,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/OAF_Fear/OAF_far_fear.wav,fear,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0015/Angry/0015_000636.wav,angry,ESD,normal,False
/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-01-02.wav,fear,RAVDESS,strong,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0019/Sad/0019_001106.wav,sad,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1078_WSI_FEA_XX.wav,fear,CREMA-D,unspecified,False
/kaggle/input/cremad/AudioWAV/1020_TAI_FEA_XX.wav,fear,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0017/Surprise/0017_001607.wav,surprise,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_fear/YAF_gun_fear.wav,fear,TESS,normal,False
/kaggle/input/cremad/AudioWAV/1003_MTI_SAD_XX.wav,sad,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0004/Surprise/0004_001571.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0012/Neutral/0012_000208.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0003/Happy/0003_000914.wav,happy,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0013/Angry/0013_000511.wav,angry,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_disgust/YAF_pool_disgust.wav,disgust,TESS,normal,False
